Challenge Date,IP Address,User Agent,Country,Challenge Type
Sun Jun 09 00:27:39 UTC 2024,2601:603:f7f:add1:0:0:0:76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sun Jul 21 22:09:50 UTC 2024,24.16.152.147,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36 EdgA/126.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue Nov 12 18:45:20 UTC 2024,2607:fb90:ec80:13fb:add8:3f34:72d4:47b0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,EMAIL_PIN_CHALLENGE
Mon Nov 18 15:54:26 UTC 2024,2a09:bac3:c9de:1537:0:0:21d:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Mon Nov 18 16:23:33 UTC 2024,2a09:bac3:c9df:1d37:0:0:2e9:74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Tue Nov 19 21:59:58 UTC 2024,2607:fb91:15c7:141f:1c8a:b72c:bc6c:ae80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131 Version/11.1.1 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Mon Dec 16 18:39:08 UTC 2024,2a09:bac3:c9de:119:0:0:1c:2ae,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Thu Dec 19 14:25:20 UTC 2024,2a04:4e41:3:76:0:0:9ce7:60d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Tue Dec 24 15:23:22 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Tue Dec 24 15:23:27 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Tue Dec 24 15:23:59 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Tue Dec 24 15:25:01 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,SSP_BLOCKING_CHALLENGE
Sat Dec 28 20:56:05 UTC 2024,2a09:bac2:a42f:154b:0:0:21f:ae,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Wed Jan 08 18:44:47 UTC 2025,2a04:4e41:3:76:0:0:c815:8e14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Wed Jan 08 18:46:10 UTC 2025,2a04:4e41:3:76:0:0:c815:8e14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Unknown,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Jan 08 20:14:09 UTC 2025,2607:fb91:15ab:123:1438:3318:8e5:6a87,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Unknown,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Jan 08 20:58:51 UTC 2025,2607:fb91:15a1:1b3f:85d8:2a1e:c135:ee34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",Unknown,LINKEDIN_APP_CHALLENGE
Thu Jan 09 23:08:47 UTC 2025,2a09:bac3:c9db:119:0:0:1c:2ab,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Unknown,LINKEDIN_APP_CHALLENGE
Fri Jan 10 19:05:39 UTC 2025,2a04:4e41:3:76:0:0:4488:5cb7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Mon Jan 13 16:57:43 UTC 2025,2a04:4e41:3:1036:0:0:9e64:de36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Unknown,SSP_BLOCKING_CHALLENGE
Wed Jan 15 18:06:05 UTC 2025,2a09:bac3:c9dd:1caa:0:0:2db:f1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",Unknown,LINKEDIN_APP_CHALLENGE
Wed Jan 15 20:53:40 UTC 2025,206.188.43.156,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Tue Jan 21 21:29:33 UTC 2025,206.188.43.51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Fri Jan 31 23:18:35 UTC 2025,2601:603:f7f:ad8a:0:0:0:6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Mon Feb 03 18:26:56 UTC 2025,2601:603:f7f:ad8a:2474:31c:c461:aa1d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Fri Feb 07 22:41:02 UTC 2025,2601:603:f7f:ad8a:681d:fad8:f039:bd1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Sun Feb 09 15:39:55 UTC 2025,2a09:bac3:c9dd:1537:0:0:21d:39,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Sun Feb 09 15:40:00 UTC 2025,2a09:bac3:c9dd:1537:0:0:21d:39,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Sun Feb 09 15:40:03 UTC 2025,2a09:bac3:c9dd:1537:0:0:21d:39,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Tue Feb 11 20:35:28 UTC 2025,2607:fb90:ec0e:473f:316b:748e:5d20:733a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Thu Feb 13 20:23:23 UTC 2025,206.188.43.86,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Tue Feb 18 22:20:33 UTC 2025,2601:603:f7f:ad8a:ad01:d832:480b:9cec,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Fri Feb 28 00:24:26 UTC 2025,2a02:26f7:c34d:81d0:0:7000:0:f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Tue Mar 04 16:07:36 UTC 2025,2601:603:f7f:ad8a:c984:2809:57da:7414,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Mon Mar 10 18:07:02 UTC 2025,98.247.28.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",United States,LINKEDIN_APP_CHALLENGE
Mon May 05 15:03:08 UTC 2025,2a09:bac2:caee:1537:0:0:21d:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Unknown,LINKEDIN_APP_CHALLENGE
Thu May 08 00:30:11 UTC 2025,2a04:4e41:2606:a7da:0:0:4786:57da,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Thu May 08 00:30:30 UTC 2025,2a02:26f7:c34c:81d0:0:3000:0:5,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",Unknown,LINKEDIN_APP_CHALLENGE
Thu May 29 14:01:29 UTC 2025,50.35.60.51,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",United States,LINKEDIN_APP_CHALLENGE
